32768, 5, 0.00778718, 0.00775401, 0.00775566, 
32768, 10, 0.00778108, 0.00775687, 0.00775735, 
32768, 20, 0.00777418, 0.00774618, 0.00774701, 
32768, 30, 0.00787005, 0.00774782, 0.0077519, 
32768, 40, 0.0077961, 0.00773938, 0.0077425, 
32768, 44, 0.00792587, 0.00777223, 0.007792, 
32768, 46, 0.00794974, 0.00780824, 0.00781376, 
32768, 48, 0.00803822, 0.00786753, 0.00788102, 
32768, 50, 0.00805594, 0.00786941, 0.00788585, 
32768, 60, 0.00807732, 0.00787327, 0.00790292, 
32768, 70, 0.00814942, 0.0079279, 0.00793167, 
