32768, 1, 49, 1, 5, 1, 1, 0.0477148, 0.0230633, 0.0235861, 0.200534, 0.200003, 0.195994, 0.22361, 0.22306, 0.219591, 0.0154233, lost_msgs, 0, 49, c1n_latency, 0.0154917, 0.00795566, 0.00812176, c2, 0.0152956, 0.0150611, 0.0154233, 
32768, 1, 999, 1, 5, 1, 1, 0.0231864, 0.0230025, 0.0230194, 0.200178, 0.199998, 0.199803, 0.223179, 0.223003, 0.222823, 0.0150656, lost_msgs, 0, 980, c1n_latency, 0.00795751, 0.00790117, 0.00791175, c2, 0.0151784, 0.0150565, 0.0150656, 
32768, 1, 999, 1, 5, 1, 1, 0.0231877, 0.0229795, 0.0230218, 0.200202, 0.199998, 0.199804, 0.223178, 0.22298, 0.222825, 0.0150796, lost_msgs, 0, 980, c1n_latency, 0.00796343, 0.00789644, 0.00790828, c2, 0.0152247, 0.0150458, 0.0150796, 
32768, 1, 1999, 1, 10, 1, 1, 0.0231284, 0.0229682, 0.0229833, 0.100144, 0.099998, 0.0999528, 0.123127, 0.122969, 0.122936, 0.0150498, lost_msgs, 0, 1960, c1n_latency, 0.00795004, 0.00789003, 0.00789882, c2, 0.0151565, 0.0150436, 0.0150498, 
32768, 1, 3999, 1, 20, 1, 1, 0.0231686, 0.0229878, 0.022997, 0.0501845, 0.0499973, 0.0499892, 0.0731637, 0.0729878, 0.0729862, 0.0150636, lost_msgs, 0, 3920, c1n_latency, 0.00795144, 0.00789955, 0.00790043, c2, 0.0151949, 0.0150527, 0.0150636, 
32768, 1, 5999, 1, 30, 1, 1, 0.0233008, 0.0231054, 0.0231317, 0.0335393, 0.0333319, 0.0333289, 0.0566333, 0.0564389, 0.0564606, 0.0151084, lost_msgs, 0, 5880, c1n_latency, 0.00805376, 0.00795977, 0.00797811, c2, 0.015256, 0.0150978, 0.0151084, 
32768, 1, 7999, 1, 40, 1, 1, 0.0232835, 0.0230596, 0.0230677, 0.0252304, 0.0249996, 0.0249978, 0.0482851, 0.0480596, 0.0480655, 0.0151148, lost_msgs, 0, 7840, c1n_latency, 0.00804748, 0.0079145, 0.00791974, c2, 0.0152721, 0.0151081, 0.0151148, 
32768, 1, 8599, 1, 43, 1, 1, 0.0326071, 0.0230858, 0.0234399, 0.02703, 0.0232537, 0.023254, 0.0558599, 0.0463416, 0.0466939, 0.0154053, lost_msgs, 0, 8428, c1n_latency, 0.011697, 0.00791914, 0.00799844, c2, 0.0229498, 0.0151299, 0.0154053, 
32768, 1, 8999, 1, 45, 1, 1, 0.0454518, 0.0349124, 0.0345561, 0.0292859, 0.022994, 0.0222445, 0.0679889, 0.0571504, 0.0568007, 0.0209523, lost_msgs, 9, 8820, c1n_latency, 0.0233064, 0.0128957, 0.0135348, c2, 0.0236113, 0.0228781, 0.0209523, 
32768, 1, 9399, 1, 47, 1, 1, 0.053342, 0.0361158, 0.0352921, 0.0293133, 0.0230346, 0.0217896, 0.0768264, 0.0577284, 0.0570818, 0.0204793, lost_msgs, 217, 9213, c1n_latency, 0.0291243, 0.0142271, 0.0147028, c2, 0.0287169, 0.0229182, 0.0204793, 
32768, 1, 9999, 1, 50, 1, 1, 0.0541571, 0.0360032, 0.0367068, 0.0309589, 0.0230324, 0.0219676, 0.0756469, 0.0576011, 0.0586729, 0.0210474, lost_msgs, 877, 9800, c1n_latency, 0.0310654, 0.0147, 0.0155544, c2, 0.0308531, 0.0228978, 0.0210474, 
32768, 1, 11999, 1, 60, 1, 1, 0.0569261, 0.0353007, 0.0367152, 0.0321968, 0.0172799, 0.0205732, 0.0805121, 0.056654, 0.0572886, 0.0199271, lost_msgs, 2231, 11760, c1n_latency, 0.0302622, 0.0159178, 0.0165753, c2, 0.0302887, 0.0152749, 0.0199271, 
32768, 1, 13999, 1, 70, 1, 1, 0.0583529, 0.0363429, 0.0374988, 0.0320644, 0.0150442, 0.0181074, 0.0840109, 0.0525968, 0.0556054, 0.0174049, lost_msgs, 2331, 13720, c1n_latency, 0.0302508, 0.0199059, 0.0197721, c2, 0.0302489, 0.0149024, 0.0174049, 
