32768, 5, 0.00831194, 0.00785784, 0.00786375, 
32768, 5, 0.00780262, 0.00775266, 0.00775501, 
32768, 5, 0.00780831, 0.0077602, 0.00776305, 
32768, 10, 0.00778846, 0.00775265, 0.007754, 
32768, 20, 0.00778091, 0.00775334, 0.00775431, 
32768, 30, 0.00795809, 0.00787379, 0.00788725, 
32768, 40, 0.00796094, 0.00782978, 0.00783246, 
32768, 43, 0.00951353, 0.00783966, 0.00788989, 
32768, 45, 0.0174434, 0.00992822, 0.0107409, 
32768, 47, 0.0175497, 0.00984401, 0.0110081, 
32768, 50, 0.0165754, 0.00791462, 0.0102017, 
32768, 60, 0.0196068, 0.00982048, 0.0109548, 
32768, 70, 0.0220614, 0.0128278, 0.0122909, 
